,nctid,title
33,NCT01130818,First-in-Human Single Ascending Dose of GLPG0492
34,NCT00482014,"A Study of Pemetrexed Plus Carboplatin, or Pemetrexed Plus Cisplatin With Radiation Therapy Followed by Pemetrexed in Patients With Inoperable Non-Small-Cell Lung Cancer"
35,NCT00201838,"Etanercept and Gemcitabine in Patients With Advanced, Chemotherapy Naive Pancreatic Adenocarcinoma"
36,NCT01235039,A Study Evaluating the Bioequivalence of VIAject®7 Compared to VIAject®25 and Comparing the Pharmacokinetic and Pharmacodynamic Properties of VIAject®7 to Insulin Lispro in Subjects With Type 1 Diabetes Mellitus
37,NCT00179608,Study of the Combination of Lenalidomide and DTIC (Dacarbazine) in Patients With Metastatic Malignant Melanoma Previously Untreated With Systemic Chemotherapy
38,NCT00411762,"A Phase I/II, Multi-Center, Open-Label, Dose-Escalation, Safety and Efficacy Study of PHY906 Plus Capecitabine in Patients With Advanced Pancreatic Carcinoma"
39,NCT01273948,Pilot Trial of Bavituximab Combined With Ribavirin for Initial Treatment of Chronic HepC Virus Genotype 1 Infection
40,NCT01176903,Safety and Efficacy Study of Glyco pMDI After Single and Repeated Administration
41,NCT00477386,Trial of Decitabine as a Sensitizer to Carboplatin in Platinum Resistant Recurrent Ovarian Cancer
42,NCT01054300,"Effects of Once and Twice Daily Dosing Regimen of Ertugliflozin (PF-04971729, MK-8835) In Participants With Type 2 Diabetes (MK-8835-040)"
43,NCT00732784,Effect of Calcium on Gleevec Pharmacokinetics (PK) in Healthy Volunteers
44,NCT00642655,Rituximab and Intravenous Immunoglobulin (IVIG) for Desensitization in Renal Transplantation
45,NCT00567879,A Trial of Panobinostat and Trastuzumab for Adult Female Patients With HER2 Positive Metastatic Breast Cancer (MBC) Whose Disease Has Progressed on or After Trastuzumab
46,NCT00694980,"A Study to Assess the Safety, Pharmacokinetics, Pharmacodynamics, and Immunogenicity of rhuMAb Beta7 in Patients With Ulcerative Colitis"
47,NCT00607308,"A Phase I, Single Dose Study Of PF-04360365 In Japanese Patients With Mild To Moderate Alzheimer's Disease"
48,NCT01462773,"Study of Patients With Stage IV Malignant Melanoma Using PS-341 (Bortezomib, Velcade) and Interferon-alpha-2b in Malignant Melanoma"
49,NCT01042028,"A Randomised Trial With Irinotecan, Cetuximab and Everolimus (ICE)Compared to Capecitabine and Oxaliplatin (CapOx) for Patients With Gemcitabin Resistant Pancreatic Cancer"
50,NCT00456989,Study of Taxotere and Doxil to Treat Advanced Androgen-Independent Prostate Cancer
51,NCT00234000,Azacitidine and Arsenic Trioxide in Treating Patients With Myelodysplastic Syndromes
52,NCT01562938,MEDI-557 Adult Dosing
53,NCT00660036,"Phase I/II Study of Mitoxantrone, Etoposide and Gemtuzumab Ozogamicin for Acute Myeloid Leukemia"
54,NCT00208117,"A Trial of Inflammatory Markers, Depressive Symptoms, and Heart Disease"
55,NCT01009801,Transarterial Chemoembolization With Doxorubicin With or Without Everolimus in Treating Patients With Liver Cancer
56,NCT01005979,"A Phase I Trial Using Cyclophosphamide, Rituximab and Revlimid (CR2) for the Treatment of Relapsed/Refractory B-Cell Chronic Lymphocytic Leukemia (B-CLL) and Small Lymphocytic Lymphoma (SLL)"
57,NCT00074022,"GTI-2040 and Docetaxel in Treating Patients With Recurrent, Metastatic, or Unresectable Locally Advanced Non-Small Cell Lung Cancer, Prostate Cancer, or Other Solid Tumors"
58,NCT00731952,Phase I Study of Induction Therapy With VELCADE and Vorinostat in Patients With Surgically Resectable Non-Small Cell Lung Cancer
59,NCT00924001,Chemotherapy Followed by Infusion of DMF5 Cells to Treat Metastatic Melanoma
60,NCT01870999,"A Multiple Dose Safety, Tolerability and Pharmacokinetics Study in Adult Patients With Schizophrenia Following Administration of Aripiprazole IM Depot"
61,NCT01033032,Trial of Amrubicin as Treatment for Patients With HER2-Negative Metastatic Breast Cancer
62,NCT00714649,Neoadjuvant Cetuximab in HNSCC Combined With Curative Surgery
63,NCT01218477,Dasatinib Combination Therapy With the Smoothened (SMO) Inhibitor BMS-833923 in Chronic Myeloid Leukemia (CML)
64,NCT00100971,Vaccine Therapy in Treating Patients With Acute Myeloid Leukemia
65,NCT01241461,A Study of LY2584702 in Solid Tumors
66,NCT00567931,1-Methyl-D-Tryptophan in Treating Patients With Metastatic or Refractory Solid Tumors That Cannot Be Removed By Surgery
67,NCT00640315,Single Dose Study in Patients With Chronic Obstructive Pulmonary Disease (COPD) Associated Pulmonary Hypertension.
68,NCT00892801,Everolimus and Whole-Brain Radiation Therapy in Treating Patients With Brain Metastasis From Non-Small Cell Lung Cancer
69,NCT00444236,Effect of Acid Reflux on Respiratory Physiology During Exercise in Athletes With GER-Response to Acid Suppression
70,NCT00591214,Safety and PK Study of MP-424 to Treat Chronic Hepatitis C
71,NCT00544362,"Fluorouracil, Cisplatin, Cetuximab, and Radiation Therapy in Treating Patients With Esophageal Cancer That Can Be Removed by Surgery"
72,NCT00088023,Safety Study of PT-523 in Cancer Patients to Treat Solid Tumors Including a Preliminary Assessment of Effectiveness
73,NCT01044966,A Study of Intraventricular Liposomal Encapsulated Ara-C (DepoCyt) in Patients With Recurrent Glioblastoma
74,NCT01166789,Lubiprostone Effects on Visceral Pain Sensitivity
75,NCT00291577,Study Of SU011248 In Combination With Docetaxel In Patients With Metastatic Breast Cancer
76,NCT00801931,Double Cord Blood Transplant for Patients With Malignant and Non-malignant Disorders
77,NCT00087477,A Pilot Study of Pivanex in Patients With Malignant Melanoma
78,NCT00327327,Safety Study of Imexon Plus Gemcitabine in Untreated Pancreatic Adenocarcinoma
79,NCT00473616,Phase I Single Ascending Dose/Multiple Ascending Dose in Patients Treated With AZD7762 and Irinotecan
80,NCT00163098,"A Study of UK-369,003 on the Safety and Efficacy in Patients With COPD"
81,NCT01078961,An Expanded Cohort Trial of Bortezomib and Sorafenib in Advanced Malignant Melanoma
82,NCT00634660,Safety and Tolerability Study of rAvPAL-PEG to Treat Phenylketonuria
83,NCT02211833,Dose Escalation Study of BI 2536 With Pemetrexed in Previously Treated Patients With Non-small-cell Lung Cancer
84,NCT02211872,BI 2536 BS in Patients With Advanced Solid Tumours and Repeated Administration in Patients With Clinical Benefit
85,NCT00241358,Study Evaluating AMD3100 for Transplantation of Sibling Donor Stem Cells in Patients With Hematological Malignancies
86,NCT01820143,"Study to Evaluate the Pharmacokinetics, Pharmacodynamics and Safety"
87,NCT00984438,Surgery With Implantable Biodegradable Carmustine (BCNU) Wafer Followed by Chemo for Patients With Recurrent Glioblastoma Multiforme
88,NCT00379574,Bortezomib Plus CHOP Every 2 Weeks for Advanced Stage DLBCL
89,NCT01335204,Ph Ib/IIa Study of Cabazitaxel Plus Bavituximab in Castration-resistant Prostate Cancer
90,NCT02273388,BI 6727 Administered Intravenously Every 3 Weeks in Patients With Solid Tumours
91,NCT00836628,Study of Busulfan for Refractory Central Nervous System (CNS) Tumors
92,NCT00379639,A Study of Romidepsin (Depsipeptide) in Combination With Gemcitabine in Patients With Pancreatic and Other Advanced Solid Tumors
93,NCT01031108,A Clinical Trial to Assess the Safety of Oral SRT2104 and Its Effects on Vascular Dysfunction in Otherwise Healthy Cigarette Smokers and Subjects With Type 2 Diabetes Mellitus
94,NCT00486265,"Phase I/II, Open-label, Multi-center, Two Part Dose-escalation, Safety, Pharmacokinetics (PK) and Efficacy Study of AZD4877 in Patients With Acute Myelogenous Leukemia (AML)"
95,NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients
96,NCT01191216,1-Methyl-D-Tryptophan and Docetaxel in Treating Patients With Metastatic Solid Tumors
97,NCT00867126,Pioglitazone as Second-Line in Patients With Metastatic Pancreatic Cancer After Treatment With Gemcitabine
98,NCT01756404,"Study to Assess the Pharmacokinetics, Pharmacodynamics, and Safety of Canagliflozin (JNJ-28431754) in Otherwise Healthy Obese Volunteers"
99,NCT01561430,Study of LY2886721 in Mild Cognitive Impairment Due to Alzheimer's Disease or Mild Alzheimer's Disease
100,NCT01302145,Drug to Drug Interaction Study With ASP1941 and Metformin
101,NCT00356941,"Oxaliplatin, Docetaxel, and Radiation Therapy in Treating Patients With Unresectable Stage II/III or Recurrent NSCLC"
102,NCT01673529,Investigation of Topical SB705498 on Healthy Volunteers
103,NCT00491751,Clinical Utility of Endothelial Dysfunction in PAD
104,NCT01032122,Rituximab in Metastatic Melanoma
105,NCT01265927,A Study Inhibiting Telomerase to Reverse Trastuzumab Resistance in HER2+ Breast Cancer
106,NCT00642031,"Triciribine Phosphate Monohydrate (TCN-PM, VD-0002) in Adult Patients With Advanced Hematologic Malignancies"
107,NCT00424164,Lapatinib and Tamoxifen in Treating Patients With Advanced or Metastatic Breast Cancer
108,NCT00378105,"Bortezomib, Lenalidomide and Dexamethasone Combination Therapy in Patients With Newly Diagnosed Multiple Myeloma"
109,NCT00555100,Safety Study of Lenalidomide With and Without Dexamethasone in Japanese Subjects With Previously Treated Multiple Myeloma
110,NCT01110473,ABT-348 as Monotherapy and in Combination With Azacitidine to Treat Advanced Hematologic Malignancies
111,NCT00038480,Safety and Effectiveness of Lopinavir/Ritonavir in HIV Infected Infants
112,NCT00443261,Azacitidine and Cisplatin for Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck
113,NCT01337765,"Safety, Pharmacokinetics and Pharmacodynamics of BEZ235 Plus MEK162 in Selected Advanced Solid Tumor Patients"
114,NCT01018745,Multiple Ascending Dose Study of BMS-907351 (XL184) in Patients With Solid Tumors in Japan
115,NCT00426530,"Safety of Everolimus in Combination Therapy, in Patients With HER2-overexpressing Metastatic Breast Cancer"
116,NCT00304005,VNP40101M in Treating Patients With Richter Syndrome or Refractory or Relapsed Chronic Lymphocytic Leukemia or Other Lymphoproliferative Disorders
117,NCT02207452,Helium-3 MRI Imaging Study in COPD
118,NCT00363454,"Phase I Study of Triciribine Phosphate Monohydrate (TCN-PM, VD-0002) in Adult Subjects With Metastatic Cancer"
119,NCT00442611,A Study to Evaluate the Safety and Efficacy of Abatacept in Patients With Diffuse Systemic Sclerosis (Scleroderma)
120,NCT01565928,Safety and Tolerability Study of MDV3100 in Combination With Docetaxel in Men With Advanced Prostate Cancer
121,NCT01464931,Multiple Dose Study to Evaluate the Safety of Multiple Doses of Denosumab 120 mg in Adults With Severe Chronic Kidney Disease (CKD) and CKD on Dialysis
122,NCT00417885,A Clinical Trial Assessing Efficacy and Safety of Sunitinib and Exemestane in Patients With ER [Estrogen Receptor] + and/or PgR [Progesterone Receptor] + Breast Cancer
123,NCT01759056,Evaluation of an Oral Anti-TNF Antibody in Patients With Active Ulcerative Colitis
124,NCT00287859,"Topotecan in Treating Patients With Ovarian Epithelial, Fallopian Tube, or Primary Peritoneal Cavity Cancer"
125,NCT00608803,Phase 1 Study of ZIO-201-T in Combination With Doxorubicin in Solid Tumors
126,NCT01023880,Study to Determine the Maximum Tolerated Dose and Evaluate the Efficacy and Safety of CEP-18770 (Delanzomib) in Patients With Relapsed Multiple Myeloma Refractory to the Most Recent Therapy
127,NCT01597609,"A Study to Characterise the Physiology of Weight Loss and Regain Under Dietary, Behavioural and Pharmacological Interventions in Healthy Obese Subjects"
128,NCT01717898,"A Multicenter Phase I/II Trial of Abiraterone Acetate + BEZ235 in Metastatic, Castration-Resistant Prostate Cancer"
129,NCT01128296,Study of Pre-surgery Gemcitabine + Hydroxychloroquine (GcHc) in Stage IIb or III Adenocarcinoma of the Pancreas
130,NCT01606371,A First-in-Human Study of LY2409021 in Healthy Participants and Participants With Type 2 Diabetes
131,NCT01161186,"Nab-paclitaxel (Abraxane), Gemcitabine, and Capecitabine (Xeloda) for Pancreatic Adenocarcinoma"
132,NCT00398567,A Phase 1/2 Study Of HKI-272 (Neratinib) in Combination With Trastuzumab (Herceptin) In Subjects With Advanced Breast Cancer
133,NCT00541970,Partially Blind Study to Evaluate Immunogenicity & Safety of GSK Bio's HPV Vaccine 580299 in Healthy Women Aged 9-25 Yrs
134,NCT01236404,"Phase 1/2a, Randomized, Double-Blind, Placebo-Controlled, Study to Assess Safety, Tolerability, PK and PD Response of PB1023 Injection Following Single and Multiple SQ Doses in Adults With Type 2 Diabetes Mellitus"
135,NCT00628433,"Safety and Pharmacokinetics Study of HE3286 in Patients With Active, Mild-to-Moderate Ulcerative Colitis"
136,NCT01290549,A Study of Escalating Doses of Polatuzumab Vedotin in Participants With Relapsed or Refractory B-Cell Non-Hodgkins Lymphoma and Chronic Lymphocytic Leukemia and Polatuzumab Vedotin in Combination With Rituximab in Participants With Relapsed or Refractory B-Cell Non-Hodgkins Lymphoma
137,NCT02176525,Multiple Oral Doses of BI 207127 NA in Treatment naïve and Treatment-experienced Hepatitis C Virus (HCV)-Infected Patients
138,NCT00265876,AZD0530 and Gemcitabine in Locally Advanced/Metastatic Pancreatic Cancer That Cannot Be Removed By Surgery
139,NCT01677299,Assessing the PK and Effect on Glucose and GI Hormone Concentrations of Metformin Delayed-Release in Subjects With T2DM
140,NCT00112619,"Topotecan in Treating Young Patients With Neoplastic Meningitis Due to Leukemia, Lymphoma, or Solid Tumors"
141,NCT00426179,Effects of Imatinib in Subjects With Seasonal Allergic Rhinitis and Who Are Sensitive to Timothy Grass Pollen
142,NCT01029054,"Carfilzomib and Lenalidomide With Dexamethasone Combination in Newly Diagnosed, Previously Untreated Multiple Myeloma"
143,NCT00137436,Study Of SU011248 In Combination With Docetaxel (Taxotere) And Prednisone In Patients With Prostate Cancer
144,NCT00102635,4-HPR and FTI in Head and Neck Squamous Cell Carcinoma (HNSCC)
145,NCT02083315,"Pharmacokinetics and Pharmacodynamics of TRV130, Morphine, and Placebo in Healthy Subjects"
146,NCT00676559,Combined aPproach to Treatment Using Ranibizumab and Efalizumab for Diabetic Macular Edema Study: The CAPTURE DME Study
147,NCT00352001,Lenalidomide and Azacitidine in Treating Patients With Advanced Myelodysplastic Syndromes
148,NCT01534702,Dose Escalation of Clofarabine in Combination With Cytarabine and Idarubicin as Induction Therapy in High Risk AML
149,NCT00405548,"Human Brain Natriuretic Peptide (BNP) (or Nesiritide) to Help Heart, Kidney and Humoral Function."
150,NCT00084058,Safety of Saquinavir and High Doses of Lopinavir/Ritonavir in Children With HIV
151,NCT00555048,"Alemtuzumab, Busulfan, and Cyclophosphamide Followed By a Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer"
152,NCT00303251,Safety of TKI258 in Advanced/Metastatic Melanoma Subjects
153,NCT00499239,"A Trial of GS-9219 in Chronic Lymphocytic Leukemia (CLL), Non-Hodgkin's Lymphoma (NHL) or Multiple Myeloma (MM)"
154,NCT00560391,Dasatinib in Combination With Revlimid (and Dexamethasone)
155,NCT01085422,"A Study Combining ABT-888, Oral PARP Inhibitor, With Temozolomide in Patients With Metastatic Prostate Cancer"
156,NCT00703638,"Sorafenib, Pemetrexed, and Cisplatin in Treating Patients With Advanced Solid Tumors"
157,NCT01445405,Radiation Therapy and Bortezomib and Cetuximab With or Without Cisplatin to Treat Head and Neck Cancer
158,NCT00625729,"Donor Natural Killer Cell Infusion, Rituximab, Aldesleukin, and Chemotherapy in Treating Patients With Relapsed Non-Hodgkin Lymphoma or Chronic Lymphocytic Leukemia"
159,NCT00610571,Ph I Oral Topotecan and Temozolomide for Patients With Malignant Gliomas
160,NCT01033227,Safety and Efficacy of Sodium Nitrite in Sickle Cell Disease
161,NCT01602627,Hsp90 Inhibitor AUY922 in Treating Older Patients With Advanced Solid Malignancies
162,NCT00004239,506U78 in Treating Patients With Hematologic Cancer and Kidney or Liver Impairment
163,NCT01454349,Study of PRX302 for Lower Urinary Tract Symptoms Due to Benign Prostatic Hyperplasia (BPH)
164,NCT00045708,A Phase I/II Trial of BMS-247550 for Treatment of Patients With Recurrent High-Grade Gliomas
165,NCT00666991,"Pharmacokinetic, Safety and Efficacy Study of Nanoparticle Paclitaxel in Patients With Peritoneal Cancers"
166,NCT00553696,Study Of Sunitinib With S-1 And Cisplatin For Gastric Cancer
167,NCT00268905,A Dose-Finding Study of E7389 in Combination With Carboplatin in Patients With Solid Tumors
168,NCT00672295,"PH I SRC Kinase, Dasatinib Combo Paclitaxel & Carboplatin in Pts w Ovarian, Peritoneal, & Tubal Cancer"
169,NCT00942838,Whole Abdomen Radiation in Conjunction With Intraperitoneal Chemotherapy for the Treatment of Small Volume Recurrent Ovarian Carcinoma Limited to the Peritoneal Cavity
170,NCT00692640,Safety Study of XL147 (SAR245408) in Combination With Erlotinib in Adults With Solid Tumors
171,NCT00610246,A Study of Radiation With Sorafenib in Advanced Cancer
172,NCT01507077,ZGN-440 (Beloranib for Subcutaneous Injection) for Treatment of Obesity
173,NCT01324635,Panobinostat and Stereotactic Radiation Therapy in Treating Patients With Brain Tumors
174,NCT00108186,Celecoxib Treatment for Lung Cancer
175,NCT00372905,Phase I/II Trial of VELCADE Plus Zevalin in Patients With Relapsed or Refractory Follicular Lymphoma
176,NCT00392691,"Melphalan, Yttrium Y 90 Ibritumomab Tiuxetan, and Rituximab Followed by Autologous Stem Cell Transplant in Treating Older Patients With Non-Hodgkin's Lymphoma That Has Relapsed or Not Responded to Previous Treatment"
177,NCT00706069,Vinorelbine Oral Plus Capecitabine Combination In Metastatic Breast Cancer
178,NCT00672412,"Safety and Pharmacokinetic Study of Fixed Dose Combination of Zidovudine, Lamivudine, and Nevirapine in HIV-Infected Children in Thailand"
179,NCT00031044,Adding New Drugs for HIV Infected Patients Failing Current Therapy
180,NCT00101842,Gemcitabine and Platinol Followed by Pemetrexed and Gemcitabine in Patients With Advanced or Metastatic Bladder Cancer
181,NCT00487786,"Safety Study of an Antisense Product in Prostate, Ovarian, NSCL, Breast or Bladder Cancer"
182,NCT01165216,Japanese Study of Ipilimumab Administered in Combination With Paclitaxel/Carboplatin in Patients With Nonsmall-cell Lung Cancer
183,NCT00428194,"Erlotinib, Cisplatin, and Radiation Therapy in Treating Patients With Stage IB-Stage IVA Cervical Cancer"
184,NCT00508456,Dietary Methionine Restriction Plus Temozolomide for Recurrent GBM
185,NCT00225121,"Study To Evaluate The Safety, Pharmacokinetics, And Pharmacodynamics Of PF-00299804 In Patients With Advanced Solid Tumors"
186,NCT00427414,Liposomal Daunorubicin in Treating Patients With HIV-Related Kaposi's Sarcoma
187,NCT00048399,"Stem Cell Transplantation for Patients With Graft Failure Following an Allogeneic Transplant, Using Identical or Near Identical Donors and Less Toxic Conditioning With CAMPATH 1H"
188,NCT00144963,Liposomal Vincristine Plus Dexamethasone in Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia
189,NCT00396812,Rituximab for the Treatment of Early Rheumatoid Arthritis (RA)
190,NCT01229332,"A Safety, Tolerability and Pharmacokinetic Study of ND0611 on the Top of Different Oral Dosage Forms of Levodopa/Carbidopa in Parkinson's Disease Patients"
191,NCT00099645,Anti-HIV Activity and Safety of 3 Different Doses of Mifepristone in HIV Infected People
192,NCT01140412,Pharmacokinetic Interaction Between Maraviroc And Fosamprenavir/Ritonavir In Healthy Subjects
193,NCT00127101,An Investigational Study of a Histone Deacetylase (HDAC) Inhibitor Plus Targretin in Cutaneous T-Cell Lymphoma Patients (0683-016)(TERMINATED)
194,NCT00281476,The Effect of High Dose Simvastatine on Multiple Myeloma
195,NCT01725802,"A Phase I/IIa Study of Safety, Tolerability and Plasma Concentration of Subcutaneous Continuously-delivered Levodopa/Carbidopa Solution (ND0612) in PD Patients"
196,NCT01184274,A Phase I Study of SB939 in Pediatric Patients With Refractory Solid Tumours and Leukemia
197,NCT00660153,Study of Tivozanib (AV-951) Plus FOLFOX6 in Subjects With Advanced Colorectal Cancer and Other Gastrointestinal Cancers
198,NCT01598740,Evaluation of CLP With and Without Spironolactone in Heart Failure Patients With Chronic Kidney Disease
199,NCT01542047,A Combination of Pazopanib and Carboplatin in Advanced Solid Malignancies
200,NCT01097681,"A Study to Assess the Pharmacokinetics, Pharmacodynamics of ASP1941 in Diabetes Mellitus Patients With Renal Impairment"
201,NCT00697476,Study of Oral Vorinostat in Combination With Topotecan in Patients With Chemosensitive Recurrent SCLC
202,NCT01092325,Safety and Hemodynamic Effects and Pharmacokinetics of CXL-1020 in Patients With Stable Heart Failure
203,NCT00376519,Umbilical Cord Blood T-Regulatory Cell Infusion Followed by Donor Umbilical Cord Blood Transplant in Treating Patients With High-Risk Leukemia or Other Hematologic Diseases
204,NCT01466985,A Study of Doravirine (MK-1439) in Human Immunodeficiency Virus Type 1 (HIV-1)-Infected Participants (MK-1439-005)
205,NCT00445458,A Phase 1/2 Study of HKI-272 (Neratinib) in Combination With Paclitaxel (Taxol) in Subjects With Solid Tumors and Breast Cancer
206,NCT00316953,Dasatinib in Treating Young Patients With Recurrent or Refractory Solid Tumors or Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia or Chronic Myelogenous Leukemia That Did Not Respond to Imatinib Mesylate
207,NCT00078559,Combination Immunosuppressive Therapy to Prevent Kidney Transplant Rejection in Adults
208,NCT00595686,Safety And Pharmacology Of SNX-5422 Mesylate In Subjects With Refractory Hematological Malignancies
209,NCT01391117,"TMC649128HPC1002 - a Trial inGenotype 1 Hepatitis C Virus (HCV) - Infected Participants to Determine the Safety, Tolerability, Pharmacokinetics and Antiviral Activity of TMC649128, Alone and Combined With Pegylated Interferon + Ribavirin"
210,NCT01193478,A Multiple Ascending Dose Study of GS 5885 in Previously Untreated Subjects With Genotype 1 Chronic Hepatitis C
211,NCT00258349,Vorinostat and Trastuzumab in Treating Patients With Metastatic or Locally Recurrent Breast Cancer
212,NCT01384799,Phase I Study of CUDC-101 With Cisplatin and Radiation in Subjects With Head & Neck Cancer
213,NCT01634789,A Pilot Bioavailability Study of 3 Test Tablet Formulations of Bazedoxifene Compared With A Reference Tablet Formulation of Bazedoxifene/Conjugated Estrogens in Healthy Postmenopausal Women
214,NCT00646139,KX2-391 in Treating Patients With Advanced Solid Tumors or Lymphoma That Did Not Respond to Treatment
215,NCT00633087,A Phase I/II Trial of 2-Deoxyglucose (2DG) for the Treatment of Advanced Cancer and Hormone Refractory Prostate Cancer
216,NCT01870245,"A Multiple Dose Study to Assess the Safety, Tolerability, and Pharmacokinetics of ACHN-975 in Healthy Volunteers"
217,NCT00038194,Phase I Trial of Fixed Dose STI571 (Imatinib Mesylate) With Escalating Doses of Docetaxel in Patients With Metastatic Androgen-Independent Prostate Cancer
218,NCT00003382,Combination Chemotherapy Consisting of Gemcitabine And Topotecan in Treating Patients With Refractory or Recurrent Ovarian or Fallopian Tube Cancer
219,NCT01232439,A Study of Brain Receptor Occupancy in Healthy Subjects
220,NCT00581789,Erlotinib and Sunitinib in NSCLC
221,NCT00320073,Vinflunine and Erlotinib or Pemetrexed in Treating Patients With Unresectable or Metastatic Solid Tumors
222,NCT01027234,This Study Will Assess the Safety and Tolerability of AZD8418 After Single Increasing Oral Doses
223,NCT00633997,Assessment of the Skin-concentration of Vildagliptin 50 mg Every 12 Hours for 10 Days in Healthy Subjects and Patients With Type 2 Diabetes
224,NCT00288054,"S0429: Docetaxel, Cetuximab, and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer"
225,NCT01115712,Effects of Pioglitazone on Insulin Sensitivity in Healthy Overweight and Obese Males (MK-0000-170)
226,NCT00551096,Gemcitabine/Capecitabine/ZD6474 in Advanced Solid Tumors
227,NCT01199367,"Safety, Tolerability, and Efficacy Study in Subjects With Advanced or Metastatic Breast Cancer"
228,NCT01582308,"A Study Comparing the Pharmacokinetic and Pharmacodynamic Profiles for Sitagliptin, Saxagliptin and Vildagliptin in Participants With Type 2 Diabetes Mellitus (T2DM) (MK-0431-142)"
229,NCT01570790,Combretastatin A4 Phosphate in Patients With Neovascular Age-Related Macular Degeneration
230,NCT01416038,"Phase 1 Study of a Cancer Vaccine to Treat Patients With Advanced Stage Ovarian, Fallopian or Peritoneal Cancer"
231,NCT00084591,Intensity-Modulated Radiation Therapy With Incorporated Boost and Capecitabine Before Surgery in Treating Patients With Locally Advanced Rectal Cancer
